seed,fold,acc,bal_acc,macro_f1,roc_auc,recall_0,prec_0,recall_1,prec_1
1,0,0.6428571428571429,0.6334507042253521,0.5855698754802321,0.6837441314553989,0.6502347417840375,0.8575851393188855,0.6166666666666667,0.33183856502242154
1,1,0.5970695970695971,0.5921361502347418,0.5441712204007286,0.6426838810641627,0.6009389671361502,0.8366013071895425,0.5833333333333334,0.2916666666666667
1,2,0.6043956043956044,0.6088028169014085,0.554945054945055,0.6473884976525822,0.6009389671361502,0.847682119205298,0.6166666666666667,0.30327868852459017
1,3,0.5981651376146789,0.5719117647058823,0.5356288298803618,0.6165490196078431,0.6188235294117647,0.821875,0.525,0.28
1,4,0.581651376146789,0.5613235294117647,0.5230747973470892,0.6184705882352941,0.5976470588235294,0.8167202572347267,0.525,0.2692307692307692
2,0,0.6410256410256411,0.6532276995305164,0.5927419968642017,0.7053990610328639,0.6314553990610329,0.8733766233766234,0.675,0.3403361344537815
2,1,0.6043956043956044,0.5908450704225352,0.5472358722358722,0.6091842723004695,0.6150234741784038,0.8343949044585988,0.5666666666666667,0.29310344827586204
2,2,0.5952380952380952,0.5610328638497653,0.5288159287128404,0.584330985915493,0.6220657276995305,0.8153846153846154,0.5,0.27149321266968324
2,3,0.581651376146789,0.5433823529411765,0.5142602495543672,0.6123627450980391,0.611764705882353,0.804953560371517,0.475,0.25675675675675674
2,4,0.618348623853211,0.6087745098039216,0.5623166023166023,0.6517647058823529,0.6258823529411764,0.8444444444444444,0.5916666666666667,0.30869565217391304
3,0,0.5989010989010989,0.5903169014084506,0.544297719087635,0.6382433489827857,0.6056338028169014,0.8349514563106796,0.575,0.2911392405063291
3,1,0.6098901098901099,0.5823943661971831,0.5458723656825113,0.6301838810641628,0.6314553990610329,0.8276923076923077,0.5333333333333333,0.2895927601809955
3,2,0.6245421245421245,0.5947769953051643,0.55862694453755,0.6493348982785603,0.647887323943662,0.8338368580060423,0.5416666666666666,0.3023255813953488
3,3,0.6036697247706422,0.6083333333333334,0.5545363727181909,0.656372549019608,0.6,0.8471760797342193,0.6166666666666667,0.30327868852459017
3,4,0.5761467889908257,0.5607843137254902,0.5202702445232806,0.6057254901960785,0.5882352941176471,0.8169934640522876,0.5333333333333333,0.26778242677824265
