seed,fold,acc,bal_acc,macro_f1,roc_auc,recall_0,prec_0,recall_1,prec_1
1,0,0.6282051282051282,0.6031103286384977,0.5643759702871067,0.650215179968701,0.647887323943662,0.8389057750759878,0.5583333333333333,0.3087557603686636
1,1,0.6117216117216118,0.5715962441314554,0.5412492073557388,0.5991490610328638,0.6431924882629108,0.8203592814371258,0.5,0.2830188679245283
1,2,0.6282051282051282,0.5911384976525822,0.5584618387663478,0.6238067292644758,0.6572769953051644,0.8308605341246291,0.525,0.3014354066985646
1,3,0.6,0.5372058823529412,0.5178165584415584,0.5663529411764706,0.6494117647058824,0.8,0.425,0.255
1,4,0.5853211009174312,0.5487254901960784,0.5185211245582763,0.5781862745098039,0.6141176470588235,0.8080495356037152,0.48333333333333334,0.26126126126126126
2,0,0.6208791208791209,0.5684859154929578,0.5433288483217571,0.6313575899843507,0.6619718309859155,0.8173913043478261,0.475,0.2835820895522388
2,1,0.5641025641025641,0.5440727699530516,0.5068761384335154,0.5390747261345854,0.57981220657277,0.8071895424836601,0.5083333333333333,0.25416666666666665
2,2,0.6153846153846154,0.5589788732394366,0.5358646373056994,0.5793622848200313,0.6596244131455399,0.8121387283236994,0.4583333333333333,0.275
2,3,0.6146788990825688,0.5555882352941176,0.5338009580604165,0.5591470588235294,0.6611764705882353,0.8097982708933718,0.45,0.2727272727272727
2,4,0.6055045871559633,0.5616666666666666,0.5335928575124688,0.5990098039215687,0.64,0.8143712574850299,0.48333333333333334,0.27488151658767773
3,0,0.63003663003663,0.59231220657277,0.5598742178521261,0.6237676056338028,0.6596244131455399,0.8313609467455622,0.525,0.30288461538461536
3,1,0.6098901098901099,0.5464788732394366,0.5266185000508803,0.5699237089201878,0.6596244131455399,0.8051575931232091,0.43333333333333335,0.2639593908629442
3,2,0.6135531135531136,0.5877347417840375,0.550136474924929,0.6090571205007824,0.6338028169014085,0.8307692307692308,0.5416666666666666,0.29411764705882354
3,3,0.6293577981651376,0.5650000000000001,0.5447063688999173,0.5923725490196079,0.68,0.8140845070422535,0.45,0.28421052631578947
3,4,0.5596330275229358,0.538235294117647,0.502283105022831,0.5604019607843137,0.5764705882352941,0.8032786885245902,0.5,0.25
