model,metric,mean,sd,lo,hi
LR_full,acc,0.6051965363891969,0.019787887230428264,0.5780733944954128,0.6422161172161173
LR_full,bal_acc,0.590766224799779,0.029301952677358575,0.5494730392156864,0.6463057511737089
LR_full,macro_f1,0.5474909382857678,0.022202697876389527,0.5163637477934869,0.5902317543798123
LR_full,roc_auc,0.6367825370523796,0.03127164560066412,0.591819062413698,0.6978198356807511
LR_demo,acc,0.5753870797907494,0.019970226256817845,0.5486129314110966,0.6136446886446887
LR_demo,bal_acc,0.5728570836785419,0.021858674789006723,0.5471254142502071,0.6062764084507043
LR_demo,macro_f1,0.5249340355981061,0.01804728364197222,0.5041765457828306,0.5584122643738576
LR_demo,roc_auc,0.6015555601583357,0.0261516935360628,0.5673235063978643,0.6472261345852894
RF_full,acc,0.6340392736723011,0.021584108322607425,0.6038461538461538,0.6676430755788554
RF_full,bal_acc,0.6040683512841756,0.026555872727273992,0.5671985294117647,0.6472359154929578
RF_full,macro_f1,0.5676677221297883,0.022705127374741816,0.537388793544187,0.6013183112553305
RF_full,roc_auc,0.6375497222989351,0.03445461497124306,0.5890290308846544,0.6981396713615023
RF_demo,acc,0.6077648956548038,0.02223513039526849,0.5611973653258057,0.6297990388816077
RF_demo,bal_acc,0.5646886679554451,0.0209135995785484,0.5375661764705882,0.5993309859154929
RF_demo,macro_f1,0.5358337870529046,0.018814961150882586,0.5038906667165706,0.5628003569348635
RF_demo,roc_auc,0.5920789729663383,0.03131021563053569,0.5461000425757159,0.6436150234741784
GB_full,acc,0.6202316541766082,0.025285202968576836,0.5770270860637833,0.6610805860805861
GB_full,bal_acc,0.6057871674491394,0.03518472597007273,0.554983257387462,0.6659301643192488
GB_full,macro_f1,0.5617734051319493,0.02800706182533311,0.5191390672638682,0.6091209353866919
GB_full,roc_auc,0.6424254395654976,0.03572984851576141,0.5984407207953604,0.7065556533646322
GB_demo,acc,0.5917583537767024,0.02584175796843132,0.557870249017038,0.636080586080586
GB_demo,bal_acc,0.5711844794255732,0.027526091069593944,0.5265686274509804,0.619474765258216
GB_demo,macro_f1,0.5320511579659462,0.023571877683440483,0.4989054088124856,0.5752384520233814
GB_demo,roc_auc,0.5985297124796709,0.03390524279339087,0.5517356703949186,0.6634585289514866
