model,C,lr,n_estimators,max_depth,min_samples_leaf,mean_f1,sd_f1,learning_rate
LR,0.01,0.1,,,,0.5565231846689084,0.008584185156565933,
LR,0.01,0.3,,,,0.556915073757123,0.0073295136094186685,
LR,0.01,0.5,,,,0.5561914093095816,0.006411146125366667,
LR,0.01,1.0,,,,0.5555022117645264,0.004843542882819115,
LR,0.1,0.1,,,,0.5550608008802801,0.0059994551764791446,
LR,0.1,0.3,,,,0.5579587212118976,0.007599983891672913,
LR,0.1,0.5,,,,0.558315495497536,0.007467630053314472,
LR,0.1,1.0,,,,0.5579849236930282,0.007574784676100693,
LR,1.0,0.1,,,,0.5557754898648138,0.005529701909851791,
LR,1.0,0.3,,,,0.5579587212118976,0.007599983891672913,
LR,1.0,0.5,,,,0.5572651758103916,0.007432417397032429,
LR,1.0,1.0,,,,0.5586682466744044,0.007604714821329581,
LR,10.0,0.1,,,,0.5557754898648138,0.005529701909851791,
LR,10.0,0.3,,,,0.5579587212118976,0.007599983891672913,
LR,10.0,0.5,,,,0.5572651758103916,0.007432417397032429,
LR,10.0,1.0,,,,0.5586682466744044,0.007604714821329581,
RF,,,40.0,4.0,20.0,0.5518948751203937,0.006806151474663316,
RF,,,40.0,4.0,30.0,0.5513958906808484,0.005324986311900118,
RF,,,40.0,4.0,50.0,0.553646448761554,0.014883209026228006,
RF,,,40.0,6.0,20.0,0.5598035899779443,0.0071073513023797025,
RF,,,40.0,6.0,30.0,0.5631509900113619,0.007186958597648069,
RF,,,40.0,6.0,50.0,0.552907587271566,0.0037625762305314473,
RF,,,40.0,8.0,20.0,0.5665253969661443,0.012206487241033119,
RF,,,40.0,8.0,30.0,0.5647274743971437,0.00771046756377643,
RF,,,40.0,8.0,50.0,0.5531252832667601,0.004955506311565602,
RF,,,60.0,4.0,20.0,0.555847524504796,0.006831038373291466,
RF,,,60.0,4.0,30.0,0.5553154618019212,0.009514702134533147,
RF,,,60.0,4.0,50.0,0.5581364176766218,0.011715447831865514,
RF,,,60.0,6.0,20.0,0.5616256144177892,0.001481964542187366,
RF,,,60.0,6.0,30.0,0.5616550526080561,0.00881921465313655,
RF,,,60.0,6.0,50.0,0.5546632526921426,0.007961296445335036,
RF,,,60.0,8.0,20.0,0.5640108329617662,0.0013772023775174263,
RF,,,60.0,8.0,30.0,0.5673381119976729,0.007589527232704223,
RF,,,60.0,8.0,50.0,0.5579500806578265,0.007433577021939113,
RF,,,100.0,4.0,20.0,0.5508296499042948,0.010112212515194226,
RF,,,100.0,4.0,30.0,0.5515424669229718,0.013056583590199547,
RF,,,100.0,4.0,50.0,0.5544426407288833,0.01269746411506165,
RF,,,100.0,6.0,20.0,0.5624609510885562,0.0022457765547355193,
RF,,,100.0,6.0,30.0,0.5610354489692765,0.006005160166871692,
RF,,,100.0,6.0,50.0,0.5533121643494291,0.006793088800924781,
RF,,,100.0,8.0,20.0,0.5643078810682213,0.006349179435398403,
RF,,,100.0,8.0,30.0,0.5554887919727806,0.0037638295893542987,
RF,,,100.0,8.0,50.0,0.563087017965853,0.007693901367521598,
GB,,,40.0,2.0,30.0,0.547666512547636,0.00831181515371499,0.05
GB,,,40.0,3.0,30.0,0.5686257450482795,0.00739745990672685,0.05
GB,,,40.0,2.0,30.0,0.5555864222192507,0.01805820496210743,0.1
GB,,,40.0,3.0,30.0,0.5661026726326934,0.013137764491654769,0.1
GB,,,60.0,2.0,30.0,0.554366748309154,0.010060469871999798,0.05
GB,,,60.0,3.0,30.0,0.5687943490800976,0.015944547555547774,0.05
GB,,,60.0,2.0,30.0,0.5574228914511922,0.021834248081937395,0.1
GB,,,60.0,3.0,30.0,0.5554513279275309,0.0012084823331907195,0.1
GB,,,100.0,2.0,30.0,0.5562456047294487,0.013978019060220665,0.05
GB,,,100.0,3.0,30.0,0.5662451857640606,0.005789748455278761,0.05
GB,,,100.0,2.0,30.0,0.5505848662269017,0.015137045667743343,0.1
GB,,,100.0,3.0,30.0,0.5517598048404256,0.008795232763775702,0.1
