,class_0,class_1
RIDAGEYR,-0.2059271613081642,0.21334544112206616
INDFMPIR,-0.01862280919056909,0.016890228277511327
female,-0.1151663037426133,0.13757156161080325
race_MexAm,-0.09068508019059884,0.07108584602797181
race_NHAsian,-0.0012871352251902,-0.004505062294151139
race_NHBlack,0.002907374017838918,-0.028226319670154706
race_NHWhite,0.02403249211262663,-0.043721519207597745
race_OtherHisp,0.027637339749080433,-0.03620257989568239
race_OtherMulti,-0.036433065007913316,0.05090631988756553
education_CollegePlus,-0.003999816796046617,0.016321058925983154
education_HS,0.005683599704065353,-0.008805737202683756
education_LessHS,0.059432815568519974,-0.04950476229622855
education_SomeCollege,-0.052471661713376416,0.03589749711938374
marital_MarriedPartner,-0.0021272064913535264,-0.00023696281877612986
marital_Never,-0.02432382308492362,0.012193034212762358
marital_WidDivSep,0.025057208128173327,-0.021258896404078645
PHQ9_total,-0.18536026738225259,0.1910338571517945
