feature,mean_drop_f1,sd_drop_f1
PHQ9_total,0.03206171034804632,0.01317971687860918
race_NHBlack,0.011184435128559642,0.003409903581852417
race_NHAsian,0.0034831855572591136,0.0035933893232935874
race_NHWhite,0.0009782305922333978,0.005815640261551349
education_CollegePlus,0.0008051580098806105,0.003058072040914703
female,0.000389493608218619,0.00718327731493397
INDFMPIR,-0.0005985791256036543,0.007909604691285144
RIDAGEYR,-0.001389513562574926,0.013529750053678298
race_OtherHisp,-0.001815551157082304,0.0036297755064224856
education_SomeCollege,-0.002559138702382141,0.006144584930790413
marital_MarriedPartner,-0.0028451655113288232,0.0035254926268177183
marital_WidDivSep,-0.003261014689191738,0.0008820273411212348
education_LessHS,-0.0035389000358116984,0.002363029811272127
race_OtherMulti,-0.003825973482805098,0.003197625458130046
education_HS,-0.004404103561482603,0.003894012869616892
marital_Never,-0.0050860739226965546,0.0052233843017015745
race_MexAm,-0.006464893218661269,0.003266867518849557
