subgroup,n,elev_risk_pct,acc,bal_acc,macro_f1,roc_auc
Overall,682,22.0,0.606,0.58,0.543,0.609
Sex: Female,354,23.7,0.523,0.568,0.5,0.608
Sex: Male,328,20.1,0.695,0.577,0.568,0.606
Race: MexAm,102,26.5,0.49,0.511,0.47,0.587
Race: NHAsian,90,11.1,0.578,0.544,0.46,0.586
Race: NHBlack,162,25.9,0.642,0.611,0.589,0.631
Race: NHWhite,209,23.4,0.627,0.586,0.561,0.613
Race: OtherHisp,80,22.5,0.713,0.637,0.623,0.617
Race: OtherMulti,39,10.3,0.487,0.604,0.423,0.736
Income PIR low (<1.47),227,20.7,0.639,0.576,0.55,0.598
Income PIR mid,226,22.1,0.619,0.57,0.544,0.61
Income PIR high (≥2.46),229,23.1,0.559,0.588,0.526,0.622
